tracker id,wiki page,country,"subnational unit (province, state)",unit,plant,chinese name,sponsor,parent,capacity (mw),status,year,region,latitude,longitude
101157,https://www.gem.wiki/%C3%87al%C4%B1%C5%9Fkan_Ceyhan_power_station,Turkey,Adana,Çalışkan Ceyhan power station Unit 1,Çalışkan Ceyhan power station,,Çalışkan Enerji,Çalışkan Enerji,660,Cancelled,,non-EU Europe,36.93815,35.99446
101158,https://www.gem.wiki/%C3%87al%C4%B1%C5%9Fkan_Ceyhan_power_station,Turkey,Adana,Çalışkan Ceyhan power station Unit 2,Çalışkan Ceyhan power station,,Çalışkan Enerji,Çalışkan Enerji,660,Cancelled,,non-EU Europe,36.93815,35.99446
101181,https://www.gem.wiki/%C3%87an-1_power_station,Turkey,Çanakkale,Çan-1 power station Unit 1,Çan-1 power station,,EÜAŞ,EÜAŞ,160,Operating,2003,non-EU Europe,40.0232395,26.9768366
101182,https://www.gem.wiki/%C3%87an-1_power_station,Turkey,Çanakkale,Çan-1 power station Unit 2,Çan-1 power station,,EÜAŞ,EÜAŞ,160,Operating,2003,non-EU Europe,40.0232395,26.9768366
101183,https://www.gem.wiki/%C3%87an-2_power_station,Turkey,Çanakkale,Çan-2 power station,Çan-2 power station,,Çan Kömür ve İnşaat,Odaş Enerji,330,Operating,2018,non-EU Europe,40.0343524,26.9505736
101194,https://www.gem.wiki/%C3%87ank%C4%B1r%C4%B1_Bereket_power_station,Turkey,Cankiri,Çankırı Orta Bereket power station,Çankırı Bereket power station,,Bereket Enerji,Çalık Holding,135,Shelved,,non-EU Europe,40.623886,33.112751
101195,https://www.gem.wiki/%C3%87ank%C4%B1r%C4%B1_Orta_power_station,Turkey,Çankırı,Çankırı Orta power station,Çankırı Orta power station,,Çalık Enerji,Çalık Holding,150,Cancelled,,non-EU Europe,40.623886,33.112751
101196,https://www.gem.wiki/%C3%87ank%C4%B1r%C4%B1_Y%C4%B1ld%C4%B1zlar_power_station,Turkey,Çankırı,Çankırı Yıldızlar power station Unit 1,Çankırı Yıldızlar power station,,3S Enerji ve Maden Üretim,Yıldızlar SSS Holding,133,Cancelled,,non-EU Europe,40.6078,33.3202
101197,https://www.gem.wiki/%C3%87ank%C4%B1r%C4%B1_Y%C4%B1ld%C4%B1zlar_power_station,Turkey,Çankırı,Çankırı Yıldızlar power station Unit 2,Çankırı Yıldızlar power station,,3S Enerji ve Maden Üretim,Yıldızlar SSS Holding,133,Cancelled,,non-EU Europe,40.6078,33.3202
101198,https://www.gem.wiki/%C3%87ank%C4%B1r%C4%B1_Y%C4%B1ld%C4%B1zlar_power_station,Turkey,Çankırı,Çankırı Yıldızlar power station Unit 3,Çankırı Yıldızlar power station,,3S Enerji ve Maden Üretim,Yıldızlar SSS Holding,133,Cancelled,,non-EU Europe,40.6078,33.3202
101238,https://www.gem.wiki/%C3%87atala%C4%9Fz%C4%B1_power_station,Turkey,Zonguldak,Çatalağzı power station Unit 1,Çatalağzı-B power station,,Bereket Enerji,Bereket Enerji,157,Operating,1989,non-EU Europe,41.517402,31.900198
101239,https://www.gem.wiki/%C3%87atala%C4%9Fz%C4%B1_power_station,Turkey,Zonguldak,Çatalağzı power station Unit 2,Çatalağzı-B power station,,Bereket Enerji,Bereket Enerji,157,Operating,1991,non-EU Europe,41.517402,31.900198
101242,https://www.gem.wiki/%C3%87ay%C4%B1rhan_power_station,Turkey,Ankara,Çayırhan power station Unit 1,Çayırhan power station,,Park Enerji,Ciner Holding,150,Operating,1987,non-EU Europe,40.097,31.695
101243,https://www.gem.wiki/%C3%87ay%C4%B1rhan_power_station,Turkey,Ankara,Çayırhan power station Unit 2,Çayırhan power station,,Park Enerji,Ciner Holding,150,Operating,1987,non-EU Europe,40.097,31.695
101244,https://www.gem.wiki/%C3%87ay%C4%B1rhan_power_station,Turkey,Ankara,Çayırhan power station Unit 3,Çayırhan power station,,Park Enerji,Ciner Holding,160,Operating,1999,non-EU Europe,40.097,31.695
101245,https://www.gem.wiki/%C3%87ay%C4%B1rhan_power_station,Turkey,Ankara,Çayırhan power station Unit 4,Çayırhan power station,,Park Enerji,Ciner Holding,160,Operating,2000,non-EU Europe,40.097,31.695
101248,https://www.gem.wiki/%C3%87ebi_Enerji_power_station,Turkey,Tekirdağ,Çebi Enerji power station Unit 1,Çebi Enerji power station,,Çebi Enerji,Kaptan Şirketler Group,350,Cancelled,,non-EU Europe,41.013446,27.961648
101249,https://www.gem.wiki/%C3%87ebi_Enerji_power_station,Turkey,Tekirdağ,Çebi Enerji power station Unit 2,Çebi Enerji power station,,Çebi Enerji,Kaptan Şirketler Group,350,Cancelled,,non-EU Europe,41.013446,27.961648
